Carrier,Component,Technology,Value
AC,generators,nuclear,593101525.2957617
AC,generators,offwind-ac,916776553.3694812
AC,generators,offwind-dc,1278367876.616131
AC,generators,offwind-float,544775382.1112875
AC,generators,onwind,2680123931.1036434
AC,generators,ror,171489898.69291106
AC,generators,solar,155500182.67967525
AC,generators,solar-hsat,1444409628.0073252
AC,lines,AC0,-10171433.452958426
AC,lines,AC1,-2915439.8410971165
AC,links,DAC0,-84830139.91585638
AC,links,DC0,-1820703566.5973396
AC,links,DC1,1745883450.4217398
AC,links,H2 Electrolysis0,-3856888149.784865
AC,links,H2 Fuel Cell1,44.65310778265469
AC,links,H2 pipeline2,-4586942.998109025
AC,links,OCGT1,1031484.3022364851
AC,links,battery charger0,-63875340.54332789
AC,links,battery discharger1,61320326.92227954
AC,links,electricity distribution grid0,-4154909754.6433415
AC,links,electricity distribution grid1,4568896.61467677
AC,links,methanolisation2,-97196209.4179362
AC,links,urban central forest residues biomass CHP CC1,122133143.50089467
AC,links,urban central forest residues biomass CHP1,150.23313651875458
AC,links,urban central gas CHP CC1,36.6627564075237
AC,links,urban central gas CHP1,42.48835663067488
AC,links,urban central rest product biomass CHP CC1,7604879.7300117705
AC,links,urban central rest product biomass CHP1,151.97027043239174
AC,links,urban central waste biomass CHP CC1,63606758.810492404
AC,links,urban central waste biomass CHP1,147.30725343676812
AC,storage_units,PHS,-29097561.424673703
AC,storage_units,hydro,334480047.62908834
EV battery,links,BEV charger1,853377770.3059142
EV battery,links,V2G0,-134520909.43522003
EV battery,loads,land transport EV,-718856860.9012138
EV battery,stores,EV battery,0.030513243497466647
H2,links,Fischer-Tropsch0,-1842475279.5895643
H2,links,H2 Electrolysis1,2397827362.7212505
H2,links,H2 Fuel Cell0,-89.30621556530939
H2,links,H2 pipeline0,-474134792.90191853
H2,links,H2 pipeline1,474134792.90191853
H2,links,SMR CC1,138.50814388093787
H2,links,SMR1,66.74034771157419
H2,links,Sabatier0,-422.0296083414471
H2,links,methanolisation0,-408241777.7384513
H2,loads,H2 for industry,-147110000.0
H2,stores,H2,-3.720197019017879e-08
agriculture machinery oil,links,agriculture machinery oil1,91957507.47009599
agriculture machinery oil,loads,agriculture machinery oil,-91957507.46988958
battery,links,battery charger1,62584796.59106565
battery,links,battery discharger0,-62584796.59176453
battery,stores,battery,0.0007162107435075282
biogas,links,biogas to gas0,-345549328.13273656
biogas,stores,biogas,345549328.13273656
co2,links,DAC2,-154236618.02882975
co2,links,OCGT2,498131.4435190832
co2,links,SMR CC2,3.9745815200616956
co2,links,SMR2,17.387616903804854
co2,links,agriculture machinery oil2,23642275.170561682
co2,links,biogas to gas2,-68418766.97028184
co2,links,coal for industry2,69757245.78800537
co2,links,forest residues biomass for industry CC2,-0.0
co2,links,forest residues biomass for industry2,-0.0
co2,links,gas for industry CC2,10961499.275994739
co2,links,gas for industry2,6.516084553281738
co2,links,industry methanol2,2194886.039526798
co2,links,kerosene for aviation2,188895330.12947077
co2,links,land transport oil2,255080109.92412648
co2,links,naphtha for industry2,124995867.00001732
co2,links,process emissions CC1,15177999.796051804
co2,links,process emissions1,2.0394835955630697
co2,links,rest product biomass for industry CC2,-0.0
co2,links,rest product biomass for industry2,-0.0
co2,links,rural forest residues biomass boiler2,-0.0
co2,links,rural gas boiler2,14568.909511154978
co2,links,rural rest product biomass boiler2,-0.0
co2,links,rural waste biomass boiler2,-0.0
co2,links,shipping methanol2,86771669.81369807
co2,links,shipping oil2,44333536.980356835
co2,links,urban central forest residues biomass CHP CC3,-175584050.34609357
co2,links,urban central forest residues biomass CHP3,-0.0
co2,links,urban central gas CHP CC3,1.8698742384961344
co2,links,urban central gas CHP3,20.51876734847226
co2,links,urban central gas boiler2,15.245285316957139
co2,links,urban central rest product biomass CHP CC3,-10933114.035344481
co2,links,urban central rest product biomass CHP3,-0.0
co2,links,urban central waste biomass CHP CC3,-91443911.30202521
co2,links,urban central waste biomass CHP3,-0.0
co2,links,urban decentral forest residues biomass boiler2,-0.0
co2,links,urban decentral gas boiler2,168149.907781618
co2,links,urban decentral rest product biomass boiler2,-0.0
co2,links,urban decentral waste biomass boiler2,-0.0
co2,links,waste biomass for industry CC2,-0.0
co2,links,waste biomass for industry2,-0.0
co2,stores,co2,-321874877.0478106
co2 sequestered,links,co2 sequestered1,200000000.00311452
co2 sequestered,stores,co2 sequestered,-200000000.00311452
co2 stored,links,DAC3,154236618.02882975
co2 stored,links,Fischer-Tropsch2,-378486615.11159915
co2 stored,links,SMR CC3,35.77123368055527
co2 stored,links,Sabatier2,-66.84948996128523
co2 stored,links,co2 sequestered0,-200000000.00311452
co2 stored,links,forest residues biomass for industry CC3,-0.0
co2 stored,links,gas for industry CC3,98653493.48395267
co2 stored,links,methanolisation3,-88966555.91348855
co2 stored,links,process emissions CC2,136601998.16446626
co2 stored,links,rest product biomass for industry CC3,-0.0
co2 stored,links,urban central forest residues biomass CHP CC4,175584050.34609357
co2 stored,links,urban central gas CHP CC4,16.828868146465215
co2 stored,links,urban central rest product biomass CHP CC4,10933114.035344481
co2 stored,links,urban central waste biomass CHP CC4,91443911.30202521
co2 stored,links,waste biomass for industry CC3,-0.0
co2 stored,stores,co2 stored,-3.2014213502407074e-09
coal,generators,coal,207549080.01593667
coal,links,coal for industry0,-207549080.00001603
coal,stores,coal,-0.01592069511389127
coal for industry,links,coal for industry1,207549080.00001603
coal for industry,loads,coal for industry,-207549080.0000001
forest residues biomass,links,forest residues biomass for industry CC0,-0.0
forest residues biomass,links,forest residues biomass for industry0,-0.0
forest residues biomass,links,rural forest residues biomass boiler0,-4425322.840870982
forest residues biomass,links,urban central forest residues biomass CHP CC0,-532024513.9717406
forest residues biomass,links,urban central forest residues biomass CHP0,-556.625181618209
forest residues biomass,links,urban decentral forest residues biomass boiler0,-123596004.47625874
forest residues biomass,stores,forest residues biomass,660046396.5998405
gas,generators,gas,211500641.6013571
gas,links,OCGT0,-2515815.3713085004
gas,links,SMR CC0,-200.73644040715635
gas,links,SMR0,-87.81624698891339
gas,links,Sabatier1,337.6236866731577
gas,links,biogas to gas1,345549328.13273656
gas,links,gas for industry CC0,-553611074.5451889
gas,links,gas for industry0,-32.909517945867364
gas,links,rural gas boiler0,-73580.35106643928
gas,links,urban central gas CHP CC0,-94.43809285334014
gas,links,urban central gas CHP0,-103.63013812359728
gas,links,urban central gas boiler0,-76.99639048968251
gas,links,urban decentral gas boiler0,-849241.9584930202
gas,stores,gas,2.1893598045608087e-13
gas for industry,links,gas for industry CC1,498249967.09067
gas for industry,links,gas for industry1,32.909517945867364
gas for industry,loads,gas for industry,-498250000.0000001
home battery,links,home battery charger1,1494.6392228489153
home battery,links,home battery discharger0,-1494.643945523566
home battery,stores,home battery,0.0047226750644375785
industry methanol,links,industry methanol1,8849999.999976
industry methanol,loads,industry methanol,-8850000.0
kerosene for aviation,links,kerosene for aviation1,734715403.0706758
kerosene for aviation,loads,kerosene for aviation,-734715403.070743
land transport oil,links,land transport oil1,992143562.5209119
land transport oil,loads,land transport oil,-992143562.5208557
low voltage,generators,solar rooftop,1124856154.6563692
low voltage,links,BEV charger0,-948197522.5621268
low voltage,links,V2G1,121068818.49169804
low voltage,links,electricity distribution grid0,-4710202.695543062
low voltage,links,electricity distribution grid1,4030262462.004041
low voltage,links,home battery charger0,-1525.4597689707662
low voltage,links,home battery discharger1,1464.4460054691815
low voltage,links,rural air heat pump0,-309.73786706544126
low voltage,links,rural ground heat pump0,-298021914.43570477
low voltage,links,rural resistive heater0,-33451585.542984013
low voltage,links,urban central air heat pump0,-297.9121889099896
low voltage,links,urban central resistive heater0,-127561221.71936862
low voltage,links,urban decentral air heat pump0,-547478684.1708608
low voltage,links,urban decentral resistive heater0,-127280362.29839955
low voltage,loads,agriculture electricity,-50058959.595149204
low voltage,loads,electricity,-1637826314.7353425
low voltage,loads,industry electricity,-1501600000.0
methanol,links,industry methanol0,-8849999.999976
methanol,links,methanolisation1,358722050.09877723
methanol,links,shipping methanol0,-349872049.855812
